Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Vehicle Sales and Rental,10717568 CANADA INC.,,490384643-001,Issued,"Jan 02, 2024","Jan 01, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",MINT CONSTRUCTION CLEANING,,501689344-001,Issued,"Mar 14, 2024","Mar 13, 2025",,,,,,,,1,
"Personal Service, Retail Sales (Minor)",DAUGHTERS SALON INC.,8104 - 102 STREET NW,483717157-001,Issued,"May 09, 2024","May 08, 2026",Old Strathcona,6110,CPR Irvine,papastew,53.517134,-113.493981,"(53.51713403235054, -113.49398111033588)",1,POINT (-113.49398111033588 53.51713403235054)
Financial Service,ON THE MARK MORTGAGES,,382142137-002,Issued,"Jan 31, 2024","Mar 04, 2026",,,,,,,,1,
Retail Sales (Minor),THE TACK RACK,,418626591-002,Issued,"Feb 16, 2024","Jan 03, 2025",,,,,,,,1,
Retail Sales (Minor),ROOTS,"1806, 8882 - 170 STREET NW",406972487-002,Issued,"Oct 31, 2023","Oct 18, 2024",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Personal Service,JAG,,351871825-002,Issued,"Jan 03, 2024","Jan 19, 2025",,,,,,,,1,
Residential Rental Accommodation (Long-Term),HIGHSTREET CRYSTALLINA (2015) LIMITED PARTNERSHIP,17908 - 78 STREET NW,352675216-002,Issued,"Jan 16, 2024","Feb 24, 2025",,2463,Crystallina Nera West,tastawiyiniwak,53.641712,-113.465402,"(53.64171202162747, -113.46540157487956)",1,POINT (-113.46540157487956 53.64171202162747)
Administration Office / Professional Service,SAFETY SMAC INC.,,408183182-002,Renewal Notice,"Nov 27, 2023","Sep 12, 2024",,,,,,,,1,
Administration Office / Professional Service,ROGERS COMMUNICATIONS,"1950, 10303 - JASPER AVENUE NW",361886136-002,Issued,"Jun 25, 2024","Aug 04, 2025",Downtown,1090,Downtown,O-day'min,53.540588,-113.498081,"(53.54058803145615, -113.49808060156127)",1,POINT (-113.49808060156127 53.54058803145615)
Administration Office / Professional Service,EDMONTON FINGERPRINTING SERVICES,"2FL, 3273 - PARSONS ROAD NW",407086083-002,Issued,"Jul 25, 2024","Sep 02, 2025",,6570,Parsons Industrial,Karhiio,53.465357,-113.485179,"(53.46535703436375, -113.48517912960331)",1,POINT (-113.48517912960331 53.46535703436375)
Participant Recreation Service,GOODLIFE FITNESS,4211 - 139 AVENUE NW,463816005-002,Issued,"Feb 23, 2024","Feb 23, 2025",,2145,Clareview Town Centre,Dene,53.599646,-113.408414,"(53.59964601731142, -113.40841360185996)",1,POINT (-113.40841360185996 53.59964601731142)
Food Truck / Food Cart,SWEET MUNCHIES CONCESSIONS LTD.,,453721108-002,Issued,"Nov 16, 2022","Nov 15, 2024",,,,,,,,1,
Administration Office / Professional Service,PROWIN TRANSLATION & INTERPRETATION,,399654944-002,Issued,"Jun 03, 2024","Jun 16, 2025",,,,,,,,1,
Retail Sales (Minor),AQUA BATH AND LIGHTING,5721 - 99 STREET NW,368827895-002,Issued,"Aug 14, 2024","Aug 19, 2025",,6100,Coronet Industrial,papastew,53.493203,-113.485346,"(53.49320303273685, -113.48534562027247)",1,POINT (-113.48534562027247 53.49320303273685)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",RICKY ALL DAY GRILL,9555 - 82 AVENUE NW,475438119-001,Issued,"Jan 23, 2024","Jan 22, 2025",French Quarter,6610,Ritchie,papastew,53.517719,-113.476139,"(53.51771903019514, -113.47613861413889)",1,POINT (-113.47613861413889 53.51771903019514)
Delivery and Logistic Service,TENOLD TRANSPORTATION LTD.,,455368825-001,Issued,"Nov 29, 2023","Dec 15, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",AQUATECH CLEANING SOLUTIONS,,450171673-002,Issued,"Nov 30, 2023","Oct 24, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",SMILE HOMES BUILD LTD,,429046944-002,Issued,"May 01, 2024","May 10, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",SKELETON CREW PAINTING,,419940275-002,Issued,"Apr 26, 2024","Apr 18, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",ACTIVE HOMES LTD,4914 - ROPER ROAD NW,434715010-002,Issued,"May 30, 2023","Jul 03, 2025",,6590,Pylypow Industrial,Sspomitapi,53.496011,-113.416235,"(53.49601102436285, -113.41623463483087)",1,POINT (-113.41623463483087 53.49601102436285)
"Restaurant or Food Service, Tobacco and Vaping Product Sales",CAFE ON 54TH,9704 - 54 AVENUE NW,325155934-002,Issued,"Aug 13, 2024","Aug 21, 2025",,6100,Coronet Industrial,papastew,53.490251,-113.480148,"(53.49025103229384, -113.48014812242296)",1,POINT (-113.48014812242296 53.49025103229384)
Restaurant or Food Service,PIZZA HUT,10062 - 163 STREET NW,419473380-002,Issued,"Feb 26, 2024","Apr 06, 2025",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.541011,-113.603322,"(53.541011043956665, -113.60332207786246)",1,POINT (-113.60332207786246 53.541011043956665)
Health Enhancement Centre (Accredited),DENUO THERAPEUTIC MASSAGE,"110, 6030 - 88 STREET NW",479267959-001,Issued,"Jul 29, 2024","Aug 02, 2025",,6170,Davies Industrial West,Métis,53.496497,-113.463147,"(53.49649702990511, -113.46314712414657)",1,POINT (-113.46314712414657 53.49649702990511)
"Construction, Contracting, and Labour Service",AMAZE CUSTOM HOMES LTD.,,403400931-002,Issued,"Jul 03, 2024","Jul 25, 2026",,,,,,,,1,
Administration Office / Professional Service,PRT CONSULTING SERVICES LTD.,,490126519-001,Issued,"Dec 20, 2023","Dec 19, 2024",,,,,,,,1,
"Public Market Vendor, Second Hand Dealer",TIPSY PALM,,421271587-002,Issued,"Jul 12, 2024","Apr 04, 2025",,,,,,,,1,
Administration Office / Professional Service,DIAMOND SECURITY GROUP INC.,"204, 9129 - 35 AVENUE NW",490510734-001,Issued,"Dec 22, 2023","Dec 21, 2024",,6700,Strathcona Industrial Park,Karhiio,53.468219,-113.468939,"(53.46821903226624, -113.46893863228657)",1,POINT (-113.46893863228657 53.46821903226624)
Administration Office / Professional Service,ROCKY REALTY LTD.,,485117524-001,Issued,"Aug 12, 2024","Sep 21, 2025",,,,,,,,1,
Food Processing / Catering Service,BONJOUR BAKERY,9913 - 82 AVENUE NW,456156529-002,Issued,"Jan 02, 2024","Jan 26, 2026",Old Strathcona,6610,Ritchie,papastew,53.517737,-113.486664,"(53.51773703144517, -113.48666411177372)",1,POINT (-113.48666411177372 53.51773703144517)
Retail Sales (Major),WINNERS,10504 - 82 AVENUE NW,382810491-002,Issued,"Jan 11, 2024","Jan 13, 2025",Old Strathcona,5480,Strathcona,papastew,53.518394,-113.500907,"(53.518394033099604, -113.50090660836253)",1,POINT (-113.50090660836253 53.518394033099604)
Tobacco and Vaping Product Sales,GCORE VAPE,12008 - 149 STREET NW,454968779-002,Issued,"Oct 31, 2023","Dec 01, 2024",,4330,Mitchell Industrial,Anirniq,53.572457,-113.578905,"(53.57245703920705, -113.57890507275961)",1,POINT (-113.57890507275961 53.57245703920705)
"Delivery and Logistic Service, Wholesale, Warehouse, and Storage",S S ENTERPRISES,4352 - 97 STREET NW,461806879-002,Issued,"Feb 06, 2024","Mar 14, 2026",,6560,Papaschase Industrial,Karhiio,53.482115,-113.481422,"(53.48211503292614, -113.48142162485422)",1,POINT (-113.48142162485422 53.48211503292614)
"Retail Sales (Minor), Construction, Contracting, and Labour Service, Wholesale, Warehouse, and Storage",PALOMA STONE PRODUCTS INC.,8661 - CORONET ROAD NW,429690958-002,Issued,"Jul 19, 2024","Jul 14, 2025",,6090,Coronet Addition Industrial,papastew,53.498072,-113.460227,"(53.498072029465035, -113.46022662427507)",1,POINT (-113.46022662427507 53.498072029465035)
Alcohol Sales (Consumption Off-Premises),LIQUOR HOUSE,1460 - MCCONACHIE BOULEVARD NW,355590537-002,Issued,"Feb 27, 2024","Mar 24, 2025",,2522,McConachie,Dene,53.639696,-113.441556,"(53.63969601890417, -113.44155608091873)",1,POINT (-113.44155608091873 53.63969601890417)
"Vehicle Repair, Maintenance, and Modification",T&K AUTO TIRE SERVICE LTD.,5511 - 76 AVENUE NW,413840423-002,Issued,"Jun 27, 2024","Jul 13, 2025",,6160,Davies Industrial East,Métis,53.511887,-113.422125,"(53.51188702412216, -113.42212512820485)",1,POINT (-113.42212512820485 53.51188702412216)
"Construction, Contracting, and Labour Service",GT LINE LOCATING INC.,,441694549-002,Issued,"Jun 24, 2024","Aug 01, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",SCC JANITORIAL SERVICES,,399660648-002,Issued,"Aug 01, 2024","Aug 02, 2025",,,,,,,,1,
Manufacturer,MD PROMO & PRINT INC.,16143 - 142 STREET NW,425714504-002,Issued,"May 01, 2024","May 25, 2025",,3360,Rampart Industrial,Anirniq,53.622173,-113.568587,"(53.622173035071434, -113.56858655832349)",1,POINT (-113.56858655832349 53.622173035071434)
Administration Office / Professional Service,BILD EDMONTON METRO ASSOCIATION,"324, 10113 - 104 STREET NW",520328666-001,Issued,"Aug 20, 2024","Aug 19, 2025",Downtown,1090,Downtown,O-day'min,53.541272,-113.498873,"(53.54127203151011, -113.49887260115445)",1,POINT (-113.49887260115445 53.54127203151011)
Delivery and Logistic Service,CUSTOM TOWING,,352863776-002,Issued,"Dec 10, 2023","Jan 21, 2025",,,,,,,,1,
Residential Rental Accommodation (Long-Term),JAYAN NIKITA HOLDINGS LTD.,10725 - 107 STREET NW,477458110-001,Issued,"Jul 11, 2024","Aug 17, 2025",,1030,Central McDougall,O-day'min,53.552207,-113.504228,"(53.55220703150381, -113.50422759628675)",1,POINT (-113.50422759628675 53.55220703150381)
"Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",FAS GAS NAMAO,9618 - 160 AVENUE NW,447237581-002,Issued,"Sep 13, 2023","Oct 16, 2024",,2241,Eaux Claires,tastawiyiniwak,53.621741,-113.490863,"(53.62174102583136, -113.49086257589839)",1,POINT (-113.49086257589839 53.62174102583136)
"Construction, Contracting, and Labour Service",NOMAD HEATING & COOLING,Non Resident Business,476386393-001,Issued,"Jun 27, 2024","Jun 29, 2025",,,,,,,,1,
"Financial Service, Commercial School",YAQIIN MULTIPLE SERVICE CENTER,10704 - 108 STREET NW,458310705-002,Issued,"Nov 24, 2023","Jan 04, 2025",North Edge,1030,Central McDougall,O-day'min,53.551586,-113.507121,"(53.55158603188463, -113.50712109584657)",1,POINT (-113.50712109584657 53.55158603188463)
Food Processing / Catering Service,DOODLE CAKES & POPS,,413717974-002,Issued,"Dec 29, 2023","Nov 24, 2024",,,,,,,,1,
"Public Market Vendor, Retail Sales (Minor), Wholesale, Warehouse, and Storage, Manufacturer",VICTORIAN GROOMING CO.,,427486717-002,Issued,"Mar 26, 2024","Mar 30, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",JOB 2228 INC.,,442628632-002,Issued,"Jul 31, 2024","Aug 04, 2025",,,,,,,,1,
Food Truck / Food Cart,SOOO YUM EHHH,,395363761-002,Issued,"Apr 16, 2024","May 26, 2025",,,,,,,,1,
Administration Office / Professional Service,G W BERTIE CONSULTING CORP.,,489569811-001,Issued,"Nov 01, 2023","Oct 31, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",M & N CONCRETE,,454204554-002,Issued,"Dec 12, 2023","Nov 20, 2024",,,,,,,,1,
Restaurant or Food Service,DONAIR AND SHAWARMA HOUSE,18555 - STONY PLAIN ROAD NW,405234684-002,Renewal Notice,"Aug 10, 2023","Sep 22, 2024",,4400,Place LaRue,Nakota Isga,53.539589,-113.643750,"(53.53958904885514, -113.64375006930685)",1,POINT (-113.64375006930685 53.53958904885514)
"Public Market Vendor, Retail Sales (Minor), Manufacturer",GIFTED,,481593389-001,Issued,"Aug 27, 2024","Aug 27, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",OIL COUNTRY ROOFING & SIDING LTD.,,419881283-002,Issued,"Jan 16, 2024","Jan 13, 2025",,,,,,,,1,
Delivery and Logistic Service,MD FREIGHTLINES LTD.,,494304538-001,Issued,"Jan 02, 2024","Jan 01, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",AL'S ATOMIC CONSTRUCTION,,459695614-002,Issued,"Jan 02, 2024","Jan 15, 2025",,,,,,,,1,
Administration Office / Professional Service,CANADIAN CERTIFIED IMMIGRATION CONSULTING INC.,,435003220-002,Issued,"Jul 09, 2024","Jul 10, 2025",,,,,,,,1,
Health Enhancement Centre (Accredited / Independent),THE UNPARALLELED ZENITH OF EVE,10863 - 96 STREET NW,503683761-001,Issued,"Apr 16, 2024","Apr 15, 2025",,1140,McCauley,O-day'min,53.555852,-113.487528,"(53.55585202930251, -113.4875280988075)",1,POINT (-113.4875280988075 53.55585202930251)
"Retail Sales (Minor), Construction, Contracting, and Labour Service, Manufacturer",FUSION MAINTENANCE AND GLAZING INC.,17408 - 105 AVENUE NW,474110063-001,Issued,"Jun 20, 2024","Jul 27, 2025",,4300,McNamara Industrial,Nakota Isga,53.549165,-113.621489,"(53.54916504564302, -113.62148857106436)",1,POINT (-113.62148857106436 53.54916504564302)
Retail Sales (Minor),BLACKSTONE SAUNAS,"312, 8944 - 182 STREET NW",441303264-002,Issued,"Jun 27, 2024","Jul 26, 2025",,4040,Belmead,Nakota Isga,53.524550,-113.639241,"(53.52455004919802, -113.63924107536003)",1,POINT (-113.63924107536003 53.52455004919802)
"Construction, Contracting, and Labour Service",GREATWAY TELECOM LTD.,,472361577-001,Issued,"May 20, 2024","Jun 29, 2025",,,,,,,,1,
Delivery and Logistic Service,GURTAJ CARRIER INC.,4438 - ELENIAK ROAD NW,429417859-002,Issued,"Apr 22, 2024","May 29, 2025",,6590,Pylypow Industrial,Sspomitapi,53.503247,-113.414538,"(53.5032470237327, -113.41453813279497)",1,POINT (-113.41453813279497 53.5032470237327)
"Retail Sales (Minor), Construction, Contracting, and Labour Service",EM-EM CLEANING SERVICES INC.,,382569559-002,Issued,"Jan 22, 2024","Jan 11, 2025",,,,,,,,1,
Retail Sales (Minor),ANNMS CLOTHING INC.,8219 - 104 STREET NW,410134002-002,Issued,"May 03, 2024","Apr 03, 2026",Old Strathcona,5480,Strathcona,papastew,53.518394,-113.497217,"(53.51839403266089, -113.49721660918924)",1,POINT (-113.49721660918924 53.51839403266089)
"Construction, Contracting, and Labour Service",SATCHA HOMES LTD.,,363913917-002,Issued,"Feb 15, 2024","Mar 10, 2025",,,,,,,,1,
"Retail Sales (Major), Participant Recreation Service",DE BOERS GOLF SHOP95,5311 - 99 STREET NW,485925156-001,Issued,"Oct 06, 2023","Oct 05, 2025",,6100,Coronet Industrial,papastew,53.489324,-113.485139,"(53.48932403294146, -113.48513862161452)",1,POINT (-113.48513862161452 53.48932403294146)
"Vehicle Repair, Maintenance, and Modification",NOPPS WRAPS,"101, 17890 - 106 AVENUE NW",431969319-002,Issued,"Aug 03, 2023","Sep 11, 2025",,4640,Wilson Industrial,Nakota Isga,53.550731,-113.630507,"(53.5507310466258, -113.63050656852319)",1,POINT (-113.63050656852319 53.5507310466258)
"Construction, Contracting, and Labour Service",KENTUCKY BLUE GRASS LTD.,Non Resident Business,465153895-001,Issued,"Feb 14, 2024","Mar 08, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",STARLING JANITORIAL,,343998355-002,Issued,"Oct 16, 2023","Oct 22, 2024",,,,,,,,1,
Residential Rental Accommodation (Long-Term),CATHOLIC SOCIAL SERVICES,6418 - 131 AVENUE NW,464744360-002,Issued,"Feb 09, 2024","Mar 06, 2025",,2080,Belvedere,Dene,53.590727,-113.440850,"(53.590727021696274, -113.44084959756972)",1,POINT (-113.44084959756972 53.590727021696274)
Vehicle Sales and Rental,YES DRIVE,"19, 15808 - 112 AVENUE NW",491835560-001,Issued,"Aug 01, 2024","Jul 31, 2025",,4490,Sheffield Industrial,Nakota Isga,53.561360,-113.595227,"(53.56136004180093, -113.59522657283853)",1,POINT (-113.59522657283853 53.56136004180093)
Administration Office / Professional Service,AGAM DEVELOPMENTS LTD.,4923 - 55 AVENUE NW,399321717-002,Issued,"Mar 14, 2024","Apr 06, 2025",,6590,Pylypow Industrial,Sspomitapi,53.491430,-113.417045,"(53.491430024730505, -113.41704463617842)",1,POINT (-113.41704463617842 53.491430024730505)
"Administration Office / Professional Service, Construction, Contracting, and Labour Service, Manufacturer",U SEE SIGNS / SUN SIGNS,12607 - 125 STREET NW,492668103-001,Issued,"Jan 25, 2024","Jan 24, 2025",,3220,Hagmann Estate Industrial,Anirniq,53.582654,-113.537244,"(53.58265403364706, -113.5372440786592)",1,POINT (-113.5372440786592 53.58265403364706)
"Construction, Contracting, and Labour Service",SERV-ALL MECHANICAL SERVICES LTD.,18140 - 107 AVENUE NW,432013290-002,Issued,"Apr 27, 2023","Jun 09, 2025",,4640,Wilson Industrial,Nakota Isga,53.553764,-113.635538,"(53.55376404704797, -113.6355375663801)",1,POINT (-113.6355375663801 53.55376404704797)
Animal Breeding and Boarding Facility,POT O GOLD PET GROOMING,,448148769-002,Issued,"Nov 11, 2023","Dec 14, 2024",,,,,,,,1,
"Personal Service, Health Enhancement Centre (Accredited)",VIVA MASSAGE AND WELLNESS INC.,424 - RIVERBEND SQUARE NW,465763479-002,Issued,"Jun 13, 2024","Jun 18, 2025",,5190,Falconer Heights,pihêsiwin,53.468525,-113.584076,"(53.46852504592508, -113.58407560642705)",1,POINT (-113.58407560642705 53.46852504592508)
"Construction, Contracting, and Labour Service",CRAIG CONSTRUCTION INC.,Non Resident Business,482750552-001,Renewal Notice,"Sep 06, 2023","Sep 05, 2024",,,,,,,,1,
Administration Office / Professional Service,ORCHID SPECIES PRESERVATION FOUNDATION,4459 - 99 STREET NW,424072265-002,Issued,"Feb 14, 2024","Mar 27, 2026",,6560,Papaschase Industrial,Karhiio,53.482484,-113.485341,"(53.48248403336983, -113.48534112385306)",1,POINT (-113.48534112385306 53.48248403336983)
Residential Rental Accommodation (Long-Term),BEVAN APARTMENTS,"1, 9749 - 82 AVENUE NW",500836673-001,Issued,"Mar 27, 2024","Mar 26, 2025",,6610,Ritchie,papastew,53.517728,-113.482434,"(53.5177280309429, -113.48243411272475)",1,POINT (-113.48243411272475 53.5177280309429)
Health Enhancement Centre (Accredited),NORTHERN LIGHTS MASSAGE LTD.,8747 - 53 AVENUE NW,485681819-001,Issued,"Nov 06, 2023","Nov 05, 2024",,6430,McIntyre Industrial,Karhiio,53.488991,-113.459741,"(53.48899102994447, -113.459740627417)",1,POINT (-113.459740627417 53.48899102994447)
"Retail Sales (Minor), Light Duty Repair Service",PRIMEZONE CANADA,10119 - 82 AVENUE NW,500498605-001,Issued,"Feb 27, 2024","Feb 26, 2026",Old Strathcona,6610,Ritchie,papastew,53.517755,-113.492276,"(53.51775503211118, -113.49227561051019)",1,POINT (-113.49227561051019 53.51775503211118)
Retail Sales (Minor),HALIMA JEWELLERY,"1046, 9499 - 137 AVENUE NW",394813411-002,Issued,"May 21, 2024","Jun 01, 2026",,2290,Glengarry,tastawiyiniwak,53.598026,-113.488248,"(53.59802602691024, -113.48824808447327)",1,POINT (-113.48824808447327 53.59802602691024)
Retail Sales (Minor),REYNOLDS MANUFACTURING,,378464891-002,Issued,"Dec 01, 2022","Dec 21, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",S-D STUCCO WALL SYST LTD,15397 - 117 AVENUE NW,489216843-001,Issued,"Nov 10, 2023","Nov 09, 2024",,4170,Garside Industrial,Anirniq,53.568866,-113.586794,"(53.56886604035703, -113.5867935722019)",1,POINT (-113.5867935722019 53.56886604035703)
Administration Office / Professional Service,GN2 ENGINEERING LTD.,"2FL, 17510 - 102 AVENUE NW",478843803-001,Issued,"Jul 03, 2024","Aug 08, 2026",,4510,Stone Industrial,Nakota Isga,53.543630,-113.623221,"(53.54363004617324, -113.62322107253593)",1,POINT (-113.62322107253593 53.54363004617324)
Administration Office / Professional Service,TRUST SCIENCE INC.,"1100, 10130 - 103 STREET NW",373859824-002,Issued,"Sep 14, 2022","Oct 20, 2024",Downtown,1090,Downtown,O-day'min,53.541875,-113.497932,"(53.54187503136276, -113.49793210116309)",1,POINT (-113.49793210116309 53.54187503136276)
"Administration Office / Professional Service, Retail Sales (Minor), Manufacturer",IVY LIFE & WELLNESS,,478780900-001,Renewal Notice,"Sep 20, 2023","Sep 19, 2024",,,,,,,,1,
Administration Office / Professional Service,PARKHEAD GLOBAL IT CONSULTING,,496157462-001,Issued,"Jan 17, 2024","Jan 16, 2026",,,,,,,,1,
Residential Rental Accommodation (Long-Term),ENGLISH MANOR APARTMENTS,11717 - 88 STREET NW,358868734-003,Issued,"Mar 25, 2024","May 05, 2026",,1160,Parkdale,Métis,53.569514,-113.476193,"(53.569514027150035, -113.47619259676374)",1,POINT (-113.47619259676374 53.569514027150035)
Administration Office / Professional Service,HOPE MIDWIVES SOUTH EDMONTON,,351466660-002,Issued,"Apr 19, 2024","Apr 21, 2026",,,,,,,,1,
"Construction, Contracting, and Labour Service",CERTAPRO PAINTERS EDMONTON LTD,"4, 9840 - 47 AVENUE NW",442321588-002,Issued,"Oct 17, 2023","Oct 02, 2025",,6560,Papaschase Industrial,Karhiio,53.485616,-113.482700,"(53.48561603287091, -113.48269962339914)",1,POINT (-113.48269962339914 53.48561603287091)
Administration Office / Professional Service,EXACT ALBERTA,"101, 10612 - 178 STREET NW",349842676-002,Issued,"Dec 16, 2022","Jan 29, 2025",,4640,Wilson Industrial,Nakota Isga,53.550533,-113.627987,"(53.550533046337165, -113.62798656915277)",1,POINT (-113.62798656915277 53.550533046337165)
"Restaurant or Food Service, Retail Sales (Minor), Health Enhancement Centre (Accredited), Participant Recreation Service",PANTHER GYM,9556 - 82 AVENUE NW,465792359-002,Issued,"Jan 26, 2024","Jan 25, 2026",French Quarter,5480,Strathcona,papastew,53.518349,-113.476040,"(53.51834903014618, -113.47603961395028)",1,POINT (-113.47603961395028 53.51834903014618)
"Retail Sales (Minor), Construction, Contracting, and Labour Service",COTA STRENGTH INC.,,459670500-002,Issued,"May 07, 2024","Feb 26, 2025",,,,,,,,1,
Retail Sales (Minor),JHEROSE JEWELRY & ACCESSORIES,,368388607-002,Issued,"Jul 08, 2024","Jul 30, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",FOCUS PAINTING AND REFINISHING,,484453585-001,Renewal Notice,"Sep 18, 2023","Sep 17, 2024",,,,,,,,1,
Administration Office / Professional Service,ZM STUDIO,,437739680-002,Issued,"Jun 03, 2024","Jun 22, 2025",,,,,,,,1,
Delivery and Logistic Service,LAST STOP MOVING,"2, 3104 - 101 STREET NW",459136324-002,Issued,"Dec 09, 2023","Jan 15, 2025",,6570,Parsons Industrial,Karhiio,53.463170,-113.489130,"(53.46317003496232, -113.48913012944779)",1,POINT (-113.48913012944779 53.46317003496232)
Vehicle Sales and Rental,ALL AUTO FINANCE,3403 - 93 STREET NW,375501079-002,Issued,"Feb 19, 2023","Dec 27, 2024",,6700,Strathcona Industrial Park,Karhiio,53.466293,-113.473907,"(53.46629303297004, -113.47390663181584)",1,POINT (-113.47390663181584 53.46629303297004)
Administration Office / Professional Service,SMALL AXE FOUNDATION,,466540139-002,Issued,"May 10, 2024","Mar 16, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",STEWART AND SON LIMITED,Non Resident Business,503974942-001,Issued,"Apr 22, 2024","Apr 21, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",CYPRESS WEST,,440351139-002,Issued,"Jul 18, 2024","Jul 17, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",THE ORGANIC GARDENER & CO,,392485165-001,Issued,"Jul 02, 2024","Jun 08, 2026",,,,,,,,1,
Restaurant or Food Service,SHAH'S KITCHEN,16904 - 107 AVENUE NW,463382292-002,Issued,"Apr 25, 2024","Apr 02, 2025",,4660,Youngstown Industrial,Nakota Isga,53.553647,-113.612628,"(53.55364704432527, -113.61262807153916)",1,POINT (-113.61262807153916 53.55364704432527)
"Administration Office / Professional Service, Construction, Contracting, and Labour Service",LOPON PRODUCTION LTD.,9412 - 27 AVENUE NW,499861670-001,Issued,"Feb 22, 2024","Feb 21, 2025",,6570,Parsons Industrial,Karhiio,53.457419,-113.474145,"(53.457419033524005, -113.47414513472013)",1,POINT (-113.47414513472013 53.457419033524005)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Spectator Entertainment",RJ TASTY BITES,9711 - 107 AVENUE NW,433250852-002,Issued,"May 29, 2024","May 31, 2025",Chinatown and Area,1140,McCauley,O-day'min,53.551586,-113.489693,"(53.551586029811034, -113.48969259975344)",1,POINT (-113.48969259975344 53.551586029811034)
Delivery and Logistic Service,SNAK CITY INC.,,465245769-002,Issued,"Mar 30, 2023","Mar 29, 2025",,,,,,,,1,
"Industrial Equipment Sales, Rental, and Repair",METROPOLITAN PUMP CO. LIMITED,18051 - 111 AVENUE NW,471736881-001,Issued,"Jun 13, 2023","Jun 12, 2025",Northwest Industrial,4640,Wilson Industrial,Nakota Isga,53.558426,-113.632514,"(53.558426046415136, -113.6325135654889)",1,POINT (-113.6325135654889 53.558426046415136)
"Construction, Contracting, and Labour Service",LORIANNE'S PROFESSIONAL HOME CLEANING,,412624645-002,Issued,"Jan 29, 2024","Jan 24, 2025",,,,,,,,1,
Restaurant or Food Service,A&W,"1570, 8882 - 170 STREET NW",433832128-002,Issued,"Aug 25, 2024","Oct 06, 2026",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
"Construction, Contracting, and Labour Service",AVANT-GARDE RENOVATIONS,,361274426-002,Issued,"Apr 12, 2024","May 03, 2025",,,,,,,,1,
Personal Service,ETOWN TATTOO INC.,6932 - 77 STREET NW,504360477-001,Issued,"Apr 02, 2024","Apr 01, 2025",,6090,Coronet Addition Industrial,papastew,53.506451,-113.445161,"(53.506451027179935, -113.44516062485347)",1,POINT (-113.44516062485347 53.506451027179935)
Administration Office / Professional Service,KERRY DEVELOPMENTS LTD,,412365616-002,Issued,"Nov 14, 2023","Nov 21, 2024",,,,,,,,1,
Delivery and Logistic Service,1749168 ALBERTA LTD.,,377029425-002,Issued,"Jan 10, 2023","Jan 12, 2025",,,,,,,,1,
Personal Service,NUYU BEAUTY MEDISPA,"340, 11044 - 82 AVENUE NW",385945425-002,Issued,"Feb 22, 2024","Mar 01, 2025",,5200,Garneau,papastew,53.518421,-113.517215,"(53.51842103503706, -113.51721460470071)",1,POINT (-113.51721460470071 53.51842103503706)
Commercial School,ALBERTA ADAPTABILITIES ASSOCIATION,"406, 10045 - 156 STREET NW",327442812-002,Issued,"Jan 04, 2023","Feb 16, 2025",Stony Plain Road and Area,4580,West Jasper Place,Nakota Isga,53.540048,-113.589363,"(53.54004804235094, -113.58936308130664)",1,POINT (-113.58936308130664 53.54004804235094)
Administration Office / Professional Service,TRUSTBIX INC.,"200, 10607 - 82 STREET NW",434252310-002,Issued,"May 16, 2024","Jun 26, 2025",,6230,Forest Heights,Métis,53.549606,-113.453598,"(53.54960602563456, -113.45359810851379)",1,POINT (-113.45359810851379 53.54960602563456)
Administration Office / Professional Service,MCCRAE PROPERTY MANAGEMENT LTD.,"201, 9704 - 27 AVENUE NW",352517747-002,Issued,"Nov 20, 2023","Dec 31, 2024",,6570,Parsons Industrial,Karhiio,53.457347,-113.477669,"(53.45734703394653, -113.47766863395505)",1,POINT (-113.47766863395505 53.45734703394653)
